IATA,ICAO,Airport,Location,Timezone,Season
CZO,,Chistochina Airport,"Chistochina, Alaska, United States",UTC-09:00,Mar–Nov
CXC,,Chitina Airport,"Chitina, Alaska, United States",UTC-09:00,Mar–Nov
JUH,,Chizhou Jiuhuashan Airport,"Chizhou / Tongling, Anhui, China",UTC+08:00,
TGS,,Chokwe Airport[1],"Chokwe, Mozambique",,
SSB,,Christiansted Harbor Seaplane Base (St. Croix Seaplane Base) (FAA: VI32),"Saint Croix, United States Virgin Islands",,
REW,,Churhata Airport[1],"Rewa, Madhya Pradesh, India",,
YWQ,,Chutes-des-Passes/Lac Margane Water Aerodrome[1] (TC: CTM3),"Passes-Dangereuses (Chute-des-Passes), Quebec, Canada",,
CHP,,Circle Hot Springs Airport,"Circle Hot Springs, Alaska, United States",UTC-09:00,Mar–Nov
CFH,,Clifton Hills Airport,"Clifton Hills, South Australia, Australia",UTC+09:30,Oct–Apr
YLM,,Clinton Creek Airport[1],"Clinton Creek, Yukon, Canada",,
XCL,,Cluff Lake Airport (TC: CJS3),"Cluff Lake, Saskatchewan, Canada",,
CWX,,Cochise County Airport[1] (FAA: P33),"Willcox, Arizona, United States",UTC-07:00,
DZI,,Codazzi Airport,"Codazzi, Colombia",UTC-05:00,
KCC,,Coffman Cove Seaplane Base,"Coffman Cove, Alaska, United States",UTC-09:00,Mar–Nov
COL,,Coll Airport,"Coll, Scotland, United Kingdom",UTC±00:00,Mar–Oct
CCT,,Colonia Catriel Airport,"Catriel, Río Negro, Argentina",UTC-03:00,
CSA,,Colonsay Airport,"Colonsay, Scotland, United Kingdom",UTC±00:00,Mar–Oct
KCR,,Colorado Creek Airport,"Colorado Creek, Alaska, United States",UTC-09:00,Mar–Nov
COA,,Columbia Airport (FAA: O22),"Columbia, California, United States",UTC-08:00,Mar–Nov
HCC,,Columbia County Airport (FAA: 1B1),"Hudson, New York, United States",UTC-05:00,Mar-Nov
CUS,,Columbus Municipal Airport (FAA: 0NM0),"Columbus, New Mexico, United States",UTC-07:00,Mar–Nov
CFO,,Confresa Airport,"Confresa, Mato Grosso, Brazil",UTC-04:00,Oct–Feb
CFM,,Conklin (Leismer) Airport,"Wood Buffalo, Alberta, Canada",UTC-07:00,
OTD,,Contadora Airport,"Contadora Island, Panama",,
COB,,Coolibah Airport,"Coolibah Station, Northern Territory, Australia",UTC+09:30,
COP,,Cooperstown-Westville Airport (FAA: K23),"Cooperstown, New York, United States",UTC-05:00,Mar–Nov
CRJ,,Coorabie Airport,"Coorabie, South Australia, Australia",UTC+09:30,Oct–Apr
CZC,,Copper Center 2 Airport (FAA: Z93),"Copper Center, Alaska, United States",UTC-09:00,Mar–Nov
CZJ,,Corazón de Jesús Airport,"Corazón de Jesús, Panama",UTC-05:00,
ODL,,Cordillo Downs Airport[1],"Cordillo Downs, South Australia, Australia",,
CKU,,Cordova Municipal Airport,"Cordova, Alaska, United States",UTC-09:00,Mar–Nov
OCS,,Corisco International Airport[1],"Corisco Island, Equatorial Guinea",,
XCN,,Coron Airport,"Coron, Philippines",,
CZH,,Corozal Airport,"Corozal, Belize",UTC-06:00,
YCF,,Cortes Island Aerodrome (TC: CCI9),"Cortes Island, British Columbia, Canada",,
CTX,,"Cortland County Airport (Chase Field, FAA: N03)","Cortland, New York, United States",UTC-05:00,Mar–Nov
LTX,,Cotopaxi International Airport,"Latacunga, Ecuador",UTC-05:00,
CTW,,Cottonwood Airport (FAA: P52),"Cottonwood, Arizona, United States",UTC-07:00,
CIL,,Council Airport (FAA: K29),"Council, Alaska, United States",UTC-09:00,Mar–Nov
YCA,,Courtenay Airpark (TC: CAH3),"Courtenay, British Columbia, Canada",,
CGA,,Craig Seaplane Base,"Craig, Alaska, United States",UTC-09:00,Mar–Nov
CCG,,Crane County Airport (FAA: E13),"Crane, Texas, United States",UTC-06:00,Mar–Nov
CKR,,Crane Island Airstrip[1],"Crane Island, Washington, United States",UTC-08:00,Mar–Nov
CSD,,Cresswell Downs Airport,"Cresswell Downs, Northern Territory, Australia",UTC+09:30,
CFQ,,Creston Aerodrome[1] (TC: CAJ3),"Creston, British Columbia, Canada",UTC-07:00,
CKD,,Crooked Creek Airport (FAA: CJX),"Crooked Creek, Alaska, United States",UTC-09:00,Mar–Nov
SJF,,Cruz Bay Seaplane Base[1],"Saint John, United States Virgin Islands",,
CUX,,Cuddihy Field (FAA: 07TE),"Corpus Christi, Texas, United States",UTC-06:00,Mar–Nov
CUJ,,Culion Airport,"Culion, Philippines",UTC+08:00,
TZM,,Cupul National Airport,"Tizimín, Yucatán, Mexico",,
CUI,,Curillo Airport,"Curillo, Colombia",UTC-05:00,
CPU,,Cururupu Airport,"Cururupu, Maranhão, Brazil",UTC-03:00,
DAO,,Dabo Airport[1],"Dabo, Papua New Guinea",UTC+10:00,
DRH,,Dabra Airport,"Dabra, Indonesia",UTC+09:00,
DCK,,Dahl Creek Airport,"Dahl Creek, Alaska, United States",UTC-09:00,Mar-Nov
DLB,,Dalbertis Airport,"Dalbertis, Papua New Guinea",UTC+10:00,
DVR,,Daly River Airport,"Daly River, Northern Territory, Australia",UTC+09:30,
DYW,,Daly Waters Airport,"Daly Waters, Northern Territory, Australia",UTC+09:30,
DBU,,Dambulu Oya Tank Seaplane Base[1],"Dambulla, Sri Lanka",UTC+05:30,
DGM,,Dandugama Seaplane Base[1],"Colombo, Sri Lanka",UTC+05:30,
DGA,,Dangriga Airport,"Dangriga, Belize",UTC-06:00,
DAH,,Dathina Airport,"Dathina, Yemen",UTC+03:00,
DAF,,Daup Airport,"Daup, Papua New Guinea",UTC+10:00,
RTI,,David Constantijn Saudale Airport[1],"Rote Island (Roti), Indonesia",,
YRD,,Dean River Airport,"Dean River, British Columbia, Canada",,
DTR,,Decatur Shores Airport[1],"Decatur Island, Washington, United States",UTC-08:00,Mar-Nov
DHB,,Deer Harbor Sea Plane Base[1],"Deer Harbor, Washington, United States",UTC-08:00,Mar-Nov
DGC,,Degeh Bur Airport,"Degeh Bur, Ethiopia",UTC+03:00,
DJN,,Delta Junction Airport (FAA: D66),"Delta Junction, Alaska, United States",UTC-09:00,Mar-Nov
DNM,,Denham Airport,"Denham, Western Australia, Australia",UTC+08:00,
DPT,,Deputatsky Airport,"Deputatsky, Yakutia, Russia",UTC+10:00,
DEQ,,Deqing Moganshan Airport,"Deqing, Zhejiang, China",UTC+08:00,
KWB,,Dewadaru Airport,"Karimun Java, Indonesia",UTC+07:00,
DMR,,Dhamar Airport,"Dhamar, Yemen",UTC+03:00,
DYM,,Diamantina Lakes Airport,"Diamantina Lakes, Queensland, Australia",UTC+10:00,
DVK,,Diavik Airport[1],"Diavik Diamond Mine, Northwest Territories, Canada",UTC-07:00,Mar-Nov
BYB,,Dibba Airport,"Dibba Al-Baya, Oman",UTC+04:00,
DSG,,Dilasag Airport,"Dilasag, Philippines",UTC+08:00,
DOS,,Dios Airport,"Dios, Papua New Guinea",UTC+11:00,
DRC,,Dirico Airport,"Dirico, Angola",UTC+01:00,
DIU,,Diu Airport,"Diu, Daman and Diu, India",UTC+05:30,
DWO,,Diyawanna Oya Seaplane Base[1],"Sri Jayawardenepura Kotte, Sri Lanka",UTC+05:30,
DOE,,Djoemoe Airstrip,"Djoemoe, Suriname",UTC-03:00,
DOA,,Doany Airport,"Doany, Madagascar",UTC+03:00,
DDM,,Dodoima Airport,"Dodoima, Papua New Guinea",UTC+10:00,
YOE,,Donnelly Airport (TC: CFM4),"Donnelly, Alberta, Canada",,
DNG,,Doongan Airport[1],"Doongan, Western Australia, Australia",UTC+08:00,
JOJ,,Doris Lake Aerodrome[1] (TC: CDL7),"Doris Lake, Nunavut, Canada",UTC-07:00,Mar-Nov
DOC,,Dornoch Airport,"Dornoch, Scotland, United Kingdom",UTC±00:00,Mar-Oct
DON,,Dos Lagunas Airport,"Dos Lagunas, Guatemala",UTC-06:00,
DGF,,Douglas Lake Airport[1],"Douglas Lake, British Columbia, Canada",UTC-08:00,Mar-Nov
VMI,,Dr. Juan Plate Airport[1],"Puerto Valle-Mi, Paraguay",,
YDC,,Drayton Valley Industrial Airport (TC: CER3),"Drayton Valley, Alberta, Canada",,
DRF,,Drift River Airport[1],"Drift River, Alaska, United States",UTC-09:00,Mar-Nov
DFP,,Drumduff Airport,"Drumduff, Queensland, Australia",UTC+10:00,
DRU,,Drummond Airport (FAA: M26),"Drummond, Montana, United States",UTC-07:00,Mar-Nov
DCG,,Dubai Creek Seaplane Base[1],"Dubai, United Arab Emirates",UTC+04:00,
DBS,,Dubois Municipal Airport (FAA: U41),"Dubois, Idaho, United States",UTC-07:00,Mar-Nov
DGK,,Dugong Beach Lodge Airstrip[1],"Dugong Beach Lodge, Mozambique",UTC+02:00,
DPU,,Dumpu Airport,"Dumpu, Papua New Guinea",UTC+10:00,
DUQ,,Duncan Airport,"Duncan, British Columbia, Canada",UTC-08:00,Mar-Nov
MHS,,Dunsmuir Municipal-Mott Airport[1] (FAA: 1O6),"Mount Shasta, California, United States",UTC-08:00,Mar-Nov
SRR,,Dunwich Airport[1],"North Stradbroke Island, Queensland, Australia",,
DQM,,Duqm International Airport[1],"Duqm, Oman",UTC+04:00,
DBK,,Dutch Bay Seaplane Base[1],"Kalpitiya, Sri Lanka",UTC+05:30,
BZT,,Eagle Air Park[1],"Brazoria, Texas, United States",UTC-06:00,Mar-Nov
EBN,,Ebadon Airstrip,"Ebadon Island, Kwajalein Atoll, Marshall Islands",UTC+12:00,
EBO,,Ebon Airport,"Ebon Atoll, Marshall Islands",UTC+12:00,
ADV,,Ed Daein Airport,"Ed Daein, Sudan",UTC+03:00,
OTN,,Ed-Air Airport (FAA: 2IG4),"Oaktown, Indiana, United States",,
EDA,,Edna Bay Seaplane Base[1],"Edna Bay, Alaska, United States",UTC-09:00,Mar-Nov
EIH,,Einasleigh Airport,"Einasleigh, Queensland, Australia",UTC+10:00,
EJN,,Ejin Banner Taolai Airport,"Ejin Banner, Inner Mongolia, China",UTC+08:00,
EKE,,Ekereku Airport,"Ekereku, Guyana",UTC-04:00,
KKU,,Ekuk Airport,"Ekuk, Alaska, United States",UTC-09:00,Mar–Nov
KEK,,Ekwok Airport,"Ekwok, Alaska, United States",UTC-09:00,Mar–Nov
ECO,,El Encanto Airport,"El Encanto, Colombia",UTC-05:00,
ENJ,,El Naranjo Airport,"El Naranjo, Guatemala",UTC-06:00,
ELE,,El Real Airport,"El Real, Panama",UTC-05:00,
ELX,,El Tigre Airport,"El Tigre, Venezuela",UTC-04:00,
ELR,,Elelim Airport,"Elelim, Indonesia",UTC+09:00,
EAL,,Elenak Airport,"Mejato Island, Kwajalein Atoll, Marshall Islands",UTC+12:00,
FID,,Elizabeth Field (FAA: 0B8),"Fishers Island, New York, United States",UTC-05:00,Mar-Nov
EKD,,Elkedra Airport,"Elkedra, Northern Territory, Australia",UTC+09:30,
ELW,,Ellamar Seaplane Base (FAA: 1Z9),"Ellamar, Alaska, United States",UTC-09:00,Mar-Nov
EJT,,Enejit Airport,"Enejit, Mili Atoll, Marshall Islands",UTC+12:00,
HBH,,Entrance Island Seaplane Base (Hobart Bay) (FAA: 2Z1),"Entrance Island, Alaska, United States",UTC-09:00,Mar-Nov
EPN,,Epéna Airport,"Epéna, Republic of the Congo",UTC+01:00,
EDQ,,Erandique Airport,"Erandique, Honduras",UTC-06:00,
ERT,,Erdenet Airport,"Erdenet, Mongolia",UTC+08:00,
EDD,,Erldunda Airport,"Erldunda, Northern Territory, Australia",UTC+09:30,
ESA,,Esa'ala Airport,"Esa'ala, Papua New Guinea",UTC+10:00,
ESI,,Espinosa Airport,"Espinosa, Minas Gerais, Brazil",UTC-03:00,Oct-Feb
UCE,,Eunice Airport (FAA: 4R7),"Eunice, Louisiana, United States",,
EUE,,Eureka Airport (FAA: 05U),"Eureka, Nevada, United States",UTC-08:00,Mar-Nov
EVD,,Eva Downs Airport,"Eva Downs, Northern Territory, Australia",UTC+09:30,
EWE,,Ewer Airport,"Ewer, Indonesia",UTC+09:00,
EXI,,Excursion Inlet Seaplane Base,"Excursion Inlet, Alaska, United States",UTC-09:00,Mar-Nov
ZFW,,Fairview Airport (TC: CEB5),"Fairview, Alberta, Canada",,
FAK,,False Island Seaplane Base (FAA: 2Z6),"False Island, Alaska, United States",UTC-09:00,Mar-Nov
FEA,,Fetlar Airport,"Fetlar, Scotland, United Kingdom",UTC±00:00,Mar-Oct
LPS,,Fishermans Bay/LPS Seaplane Base,"Lopez Island, Washington, United States",UTC-08:00,Mar-Nov
FLT,,Flat Airport,"Flat, Alaska, United States",UTC-09:00,Mar-Nov
FMU,,Florence Municipal Airport[1] (FAA: 6S2),"Florence, Oregon, United States",UTC-08:00,Mar-Nov
FLH,,Flotta Airport,"Flotta, Scotland, United Kingdom",UTC±00:00,Mar-Oct
YFG,,Fontanges Airport (TC: CTU2),"Fontanges, Quebec, Canada",,
FOB,,Fort Bragg Airport (FAA: 82CL),"Fort Bragg, California, United States",UTC-08:00,Mar-Nov
JHL,,Fort MacKay/Albian Aerodrome[1] (TC: CAL4),"Fort McKay, Alberta, Canada",UTC-07:00,Mar-Nov
YFI,,Fort MacKay/Firebag Aerodrome[1] (TC: CFG6),"Fort McKay, Alberta, Canada",,
NML,,Fort McMurray/Mildred Lake Airport[1] (TC: CAJ3),"Fort McMurray, Alberta, Canada",,
YFL,,Fort Reliance Water Aerodrome (CJN8),"Fort Reliance, Northwest Territories, Canada",,
FSL,,Fossil Downs Airport,"Fossil Downs Station, Western Australia, Australia",UTC+08:00,
FOA,,Foula Airfield,"Foula, Scotland, United Kingdom",UTC±00:00,Mar-Oct
FOY,,Foya Airport,"Foya, Liberia",UTC±00:00,
LOM,,Francisco Primo de Verdad National Airport,"Lagos de Moreno, Jalisco, Mexico",UTC-06:00,Apr-Oct
WHO,,Franz Josef Glacier Aerodrome[1],"Franz Josef Glacier, New Zealand",,
CNE,,Fremont County Airport (FAA: 1V6),"Cañon City, Colorado, United States",UTC-07:00,Mar–Nov
RBK,,French Valley Airport[1] (FAA: F70),"Murrieta / Temecula, California, United States",,
FBS,,Friday Harbor Seaplane Base (FAA: W33),"Friday Harbor, Washington, United States",UTC-08:00,Mar-Nov
FUB,,Fulleborn Airport,"Fulleborn, Papua New Guinea",UTC+10:00,
FUM,,Fuma Airport[1],"Fuma, Papua New Guinea",UTC+10:00,
FND,,Funadhoo Airport,"Funadhoo, Shaviyani Atoll, Maldives",UTC+05:00,
DTH,,Furnace Creek Airport (FAA: L06),"Death Valley, California, United States",UTC-08:00,Mar-Nov
GAV,,Gag Island Airport,"Gag Island, Indonesia",UTC+09:00,
GHK,,Gahcho Kue Aerodrome[2] (TC: CGK2),"Kennedy Lake, Northwest Territories, Canada",UTC-07:00,Mar-Nov
GRA,,Gamarra Airport,"Gamarra, Colombia",UTC-05:00,
GAX,,Gamba Airport,"Gamba, Gabon",UTC+01:00,
YGG,,Ganges Water Aerodrome (TC: CAX6),"Ganges, British Columbia, Canada",,
GNF,,Gansner Field[2] (FAA: 2O1),"Quincy, California, United States",UTC-08:00,Mar-Nov
GHE,,Garachiné Airport,"Garachiné, Panama",UTC-05:00,
GBM,,Garbaharey Airport,"Garbaharey, Somalia",UTC+03:00,
GGR,,Garowe International Airport,"Garowe, Somalia",UTC+03:00,
ODM,,Garrett County Airport[1] (FAA: 2G4),"Oakland, Maryland, United States",,
GRH,,Garuahi Airport,"Garuahi, Papua New Guinea",UTC+10:00,
GEC,,Geçitkale Air Base,"Geçitkale, Northern Cyprus",UTC+03:00,
GIT,,Geita Airport,"Geita, Tanzania",UTC+03:00,
GLC,,Geladi Airport,"Geladi, Ethiopia",UTC+03:00,
VGS,,General Villegas Airport[1],"General Villegas, Buenos Aires, Argentina",,
GTY,,Gettysburg Regional Airport (FAA: W05),"Gettysburg, Pennsylvania, United States",UTC-05:00,Mar-Nov
GGL,,Gilgal Airport[2],"Gilgal, Colombia",UTC-05:00,
AQY,,Girdwood Airport[1],"Girdwood, Alaska, United States",UTC-09:00,Mar-Nov
KGZ,,Glacier Creek Airport,"Glacier Creek, Alaska, United States",UTC-09:00,Mar–Nov
GWV,,Glendale Fokker Field (FAA: WV66),"Glen Dale, West Virginia, United States",UTC-05:00,Mar-Nov
ULL,,Glenforsa Airfield[1],"Mull, Scotland, United Kingdom",,
GWN,,Gnarowein Airport,"Gnarowein, Papua New Guinea",UTC+10:00,
GOL,,Gold Beach Municipal Airport (FAA: 4S1),"Gold Beach, Oregon, United States",UTC-08:00,Mar-Nov
GDH,,Golden Horn Lodge Seaplane Base (FAA: 3Z8),"Golden Horn Lodge, Alaska, United States",UTC-09:00,Mar-Nov
GLY,,Goldsworthy Airport,"Goldsworthy, Western Australia, Australia",UTC+08:00,
GOE,,Gonaili Airstrip,"Gonaili, Papua New Guinea",UTC+10:00,
GNU,,Goodnews Airport,"Goodnews Bay, Alaska, United States",UTC-09:00,Mar-Nov
GDI,,Gordil Airport,"Gordil, Central African Republic",UTC+01:00,
YGE,,Gorge Harbour Water Aerodrome,"Gorge Harbour, British Columbia, Canada",,
GOS,,Gosford Airport,"Gosford, New South Wales, Australia",UTC+10:00,Oct-Apr
GDA,,Gounda Airport,"Gounda, Central African Republic",UTC+01:00,
GCT,,Grand Canyon Bar 10 Airport,"Whitmore, Arizona, United States",UTC-07:00,
PGS,,Grand Canyon Caverns Airport (FAA: L37),"Peach Springs, Arizona, United States",,
GCW,,Grand Canyon West Airport[2] (FAA: 1G4),"Peach Springs, Arizona, United States",UTC-07:00,
GRC,,Grand Cess Airport,"Grand Cess, Liberia",UTC±00:00,
GCD,,Grand Coulee Dam Airport[2] (FAA: 3W7),"Electric City, Washington, United States",UTC-08:00,Mar-Nov
XES,,Grand Geneva Resort Airport (FAA: C02),"Lake Geneva, Wisconsin, United States",,
OSB,,Grand Glaize-Osage Beach Airport (FAA: K15),"Osage Beach, Missouri, United States",,
NRI,,Grand Lake Regional Airport[1] (FAA: 3O9),"Afton, Oklahoma, United States",,
YGC,,Grande Cache Airport (TC: CEQ5),"Grande Cache, Alberta, Canada",,
PGC,,Grant County Airport (FAA: W99),"Petersburg, West Virginia, United States",,
GTP,,Grants Pass Airport[2] (FAA: 3S8),"Grants Pass, Oregon, United States",UTC-08:00,Mar-Nov
KGX,,Grayling Airport,"Grayling, Alaska, United States",UTC-09:00,Mar–Nov
DAS,,Great Bear Lake Airport[1] (TC: CFF4),"Great Bear Lake, Northwest Territories, Canada",UTC-08:00,Mar-Nov
RVR,,Green River Municipal Airport[1] (FAA: U34),"Green River, Utah, United States",,
YGN,,Greenway Sound Water Aerodrome,"Greenway Sound, British Columbia, Canada",,
NUA,,Gregory Lake Seaplane Base[1],"Nuwara Eliya, Sri Lanka",,
GFE,,Grenfell Airport[2],"Grenfell, New South Wales, Australia",UTC+10:00,Oct-Apr
GCA,,Guacamayas Airport,"Guacamayas, Colombia",UTC-05:00,
GAA,,Guamal Airport,"Guamal, Colombia",UTC-05:00,
GAZ,,Guasopa Airport,"Guasopa, Papua New Guinea",UTC+10:00,
GLN,,Guelmim Airport,"Guelmim, Morocco",UTC±00:00,Mar-Oct1
GMC,,Guerima Airport,"Guerima, Colombia",UTC-05:00,
GRT,,Gujrat Airport,"Gujrat, Pakistan",UTC+05:00,
GUE,,Guriaso Airport,"Guriaso, Papua New Guinea",UTC+10:00,
VJQ,,Gurúé Airport[1],"Gurúè, Mozambique",,
HBD,,Habi Airport,"Habi, Papua New Guinea",UTC+10:00,
HAY,,Hacaritama Airport,"Aguachica, Colombia",UTC-05:00,
HEO,,Haelogo Airport,"Haelogo, Papua New Guinea",UTC+10:00,
YHC,,Hakai Passage Water Aerodrome,"Hakai Passage, British Columbia, Canada",,
HBT,,Hambantota Sea Plane Base,"Hambantota, Sri Lanka",UTC+05:30,
YTB,,Hartley Bay Water Aerodrome (TC: CAY4),"Hartley Bay, British Columbia, Canada",,
YDJ,,Hatchet Lake Airport[1] (TC: CJL2),"Hatchet Lake, Saskatchewan, Canada",,
HAZ,,Hatzfeldthaven Airport,"Hatzfeldthaven, Papua New Guinea",UTC+10:00,
HWA,,Hawabango Airport,"Hawabango, Papua New Guinea",UTC+10:00,
HWI,,Hawk Inlet Seaplane Base,"Hawk Inlet, Alaska, United States",UTC-09:00,Mar-Nov
HYF,,Hayfields Airport,"Hayfields, Papua New Guinea",UTC+10:00,
HKB,,Healy Lake Airport,"Healy Lake, Alaska, United States",UTC-09:00,Mar-Nov
BCV,,Hector Silva Airstrip,"Belmopan, Belize",UTC-06:00,
HNI,,Heiweni Airport,"Heiweni, Papua New Guinea",UTC+10:00,
HLV,,Helenvale Airport,"Helenvale, Queensland, Australia",UTC+10:00,
HED,,Herendeen Bay Airport (FAA: AK33),"Herendeen Bay, Alaska, United States",UTC-09:00,Mar-Nov
YJP,,Hinton/Jasper-Hinton Airport (TC: CEC4),"Hinton, Alberta, Canada",,
HBB,,Hobbs Industrial Airpark,"Hobbs, New Mexico, United States",UTC-07:00,Mar-Nov
HGZ,,Hog River Airport (FAA: 2AK6),"Hogatza, Alaska, United States",UTC-09:00,Mar-Nov
HBK,,Holbrook Municipal Airport[1] (FAA: P14),"Holbrook, Arizona, United States",UTC-07:00,
HYL,,Hollis Clark Bay Seaplane Base,"Hollis, Alaska, United States",UTC-09:00,Mar-Nov
FLI,,Holt Airport,"Flateyri, Iceland",UTC±00:00,
HNN,,Honinabi Airport,"Honinabi, Papua New Guinea",UTC+10:00,
UZM,,Hope Bay Aerodrome[1] (TC: CHB3),"Hope Bay, Nunavut, Canada",,
HPE,,Hopevale Airport,"Hopevale, Queensland, Australia",UTC+10:00,
